Source_ID,Source_Name,Status_Code,Status_Description,Type_Code,Type_Desc,Address,City,State_Abbr,Postal_Code,Degree_of_Shortage,Designation_Date,Designation_Last_Update_Date,Designation_Pop,Estimated_Underserved_Pop,Estimated_Served_Pop,Formal_Ratio,Total_FTE_Clinicians,Metropolitan_Indicator_Code,Metropolitan_Indicator_Desc,Provider_Ratio_Goal,Percent_Pop_Below_Poverty,HPSA_Score,HPSA_Shortage,Discipline_Class_Num,Discipline_Class_Desc,Component_Source_ID,Component_Source_Name,Component_Status_Code,Component_Status_Desc,Component_Type_Code,Component_Type_Desc,Component_State_Abbr,Component_Postal_Code,Component_Designation_Date,Component_Designation_Date_String,Component_Designation_Last_Update_Date,Geography_ID,CountyFIPS,County_Name,StateCountyFIPS,State_FIPS,State_Abbr_2,State_Name,Primary_State_Name,Primary_State_FIPS,Primary_HHS_Region_Name,US_Mexico_Border_County,US_Mexico_Border_100km,Data_Warehouse_Record_Create_Date,Data_Warehouse_Record_Create_Date_Text,HPSA_Name,HPSA_Component_Name,Break_in_Designation,Geocoding_Primary_X,Geocoding_Primary_Y,HPSA_Pop_Type_Code,HPSA_Pop_Type_Desc,HPSA_Resident_Civilian_Pop,Common_City_Name_with_State_Abbr,Common_Postal_Code,Common_County_Name,Common_StateCounty_FIPS,Common_State_Abbr,Common_State_Name,Common_State_FIPS,Common_Region_Name,HPSA_Withdrawn_Date,HPSA_Withdrawn_Date_String,Provider_Type,Rural_Status_Code,Rural_Status_Desc,HPSA_Designation_Pop_Type_Desc,BHCMIS_OrgID
6409994016,Carl Albert Indian Hospital,W,Withdrawn,IHS,"Indian, Tribal and Urban Indian Organizations",1001 N Country Club Rd,Ada,OK,74820-2847,,10/26/2002,2/14/2012,,,,,,N,Non-Metropolitan,,,0,0,6,Dental Health,6409994016,Carl Albert Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,123,Pontotoc,40123,40,OK,Oklahoma,Oklahoma,40,Region VI,N,N,12/17/2019,12/17/2019,Carl Albert Indian Hospital,Carl Albert Indian Hospital,N,-96.65242646,34.78636863,,,,Ada,74820,"Pontotoc County, OK",40123,OK,Oklahoma,40,Region VI,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6319993124,Winnebago PHS Indian Hospital,W,Withdrawn,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX Hh,Winnebago,NE,68071-0767,,10/26/2002,5/2/2014,,,,,,N,Non-Metropolitan,,,19,0,6,Dental Health,6319993124,Winnebago PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,173,Thurston,31173,31,NE,Nebraska,Nebraska,31,Region VII,N,N,12/17/2019,12/17/2019,Winnebago PHS Indian Hospital,Winnebago PHS Indian Hospital,N,-96.48542149,42.236709,,,,Winnebago,68071,"Thurston County, NE",31173,NE,Nebraska,31,Region VII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6089990849,Southern Colorado Ute Services Unit-Fed,W,Withdrawn,IHS,"Indian, Tribal and Urban Indian Organizations",Weeminuche Dr,Ignacio,CO,81137,,10/26/2002,6/14/2011,,,,,,N,Non-Metropolitan,,,0,0,6,Dental Health,6089990849,Southern Colorado Ute Services Unit-Fed,0,Unknown,UNK,Unknown,,,,,,POINT,67,La Plata,8067,8,CO,Colorado,Colorado,8,Region VIII,N,N,12/17/2019,12/17/2019,Southern Colorado Ute Services Unit-Federal,Southern Colorado Ute Services Unit-Federal,N,-107.6359702,37.13120099,,,,Ignacio,81137,"La Plata County, CO",8067,CO,Colorado,8,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
60499904B5,Phx Area Office Two Renaissance Square,W,Withdrawn,IHS,"Indian, Tribal and Urban Indian Organizations",100 N 1st St,Phoenix,AZ,85004,,12/5/2005,6/11/2016,,,,,,M,Metropolitan,,,0,0,6,Dental Health,60499904B5,Phx Area Office Two Renaissance Square,0,Unknown,UNK,Unknown,,,,,,POINT,13,Maricopa,4013,4,AZ,Arizona,Arizona,4,Region IX,N,N,12/17/2019,12/17/2019,Phx Area Office Two Renaissance Square,Phx Area Office Two Renaissance Square,N,-112.07259,33.44999,,,,Phoenix,85004,"Maricopa County, AZ",4013,AZ,Arizona,4,Region IX,,,,N,Non-Rural,"Indian, Tribal and Urban Indian Organizations",
6569995629,Ft. Washakie PHS Indian Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX 128,Fort Washakie,WY,82514-0128,,3/1/2006,3/1/2006,,,,,,N,Non-Metropolitan,,,16,0,6,Dental Health,6569995629,Ft. Washakie PHS Indian Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,13,Fremont,56013,56,WY,Wyoming,Wyoming,56,Region VIII,N,N,12/17/2019,12/17/2019,Ft. Washakie PHS Indian Health Center,Ft. Washakie PHS Indian Health Center,N,-108.874268,42.998532,,,,Fort Washakie,82514,"Fremont County, WY",56013,WY,Wyoming,56,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6469994643,Wagner PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",110 Washington Ave NW,Wagner,SD,57380,,10/26/2002,10/26/2002,,,,,,N,Non-Metropolitan,,,19,0,6,Dental Health,6469994643,Wagner PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,23,Charles Mix,46023,46,SD,South Dakota,South Dakota,46,Region VIII,N,N,12/17/2019,12/17/2019,Wagner PHS Indian Hospital,Wagner PHS Indian Hospital,N,-98.29762274,43.08182503,,,,Wagner,57380,"Charles Mix County, SD",46023,SD,South Dakota,46,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6469994623,Fort Thompson PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX 200,Fort Thompson,SD,57339-0200,,10/26/2002,10/26/2002,,,,,,N,Non-Metropolitan,,,22,0,6,Dental Health,6469994623,Fort Thompson PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,17,Buffalo,46017,46,SD,South Dakota,South Dakota,46,Region VIII,N,N,12/17/2019,12/17/2019,Fort Thompson PHS Indian Hospital,Fort Thompson PHS Indian Hospital,N,-99.46894849,44.081196,,,,Fort Thompson,57339,"Buffalo County, SD",46017,SD,South Dakota,46,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6469994619,McLaughlin PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",6th St E,Mc Laughlin,SD,57642,,10/26/2002,5/12/2014,,,,,,N,Non-Metropolitan,,,9,0,6,Dental Health,6469994619,McLaughlin PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,31,Corson,46031,46,SD,South Dakota,South Dakota,46,Region VIII,N,N,12/17/2019,12/17/2019,McLaughlin PHS Indian Hospital,McLaughlin PHS Indian Hospital,N,-100.8055184,45.80951789,,,,Mc Laughlin,57642,"Corson County, SD",46031,SD,South Dakota,46,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6469994616,Rosebud PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations","BIA Route 1, Solider Creek Road",Rosebud,SD,57570-0400,,10/26/2002,5/8/2012,,,,,,N,Non-Metropolitan,,,23,0,6,Dental Health,6469994616,Rosebud PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,121,Todd,46121,46,SD,South Dakota,South Dakota,46,Region VIII,N,N,12/17/2019,12/17/2019,Rosebud PHS Indian Hospital,Rosebud PHS Indian Hospital,N,-100.8488915,43.238616,,,,Rosebud,57570,"Todd County, SD",46121,SD,South Dakota,46,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
640999409M,Okmulgee Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",1313 E 20th St,Okmulgee,OK,74447-6303,,10/26/2002,2/4/2013,1,,,,,M,Metropolitan,,,18,0,6,Dental Health,640999409M,Okmulgee Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,111,Okmulgee,40111,40,OK,Oklahoma,Oklahoma,40,Region VI,N,N,12/17/2019,12/17/2019,Okmulgee Health Center,Okmulgee Health Center,N,-95.95401899,35.61001784,,,,Okmulgee,74447,"Okmulgee County, OK",40111,OK,Oklahoma,40,Region VI,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
