MUA_SOURCE_ID,MUA_AREA_CD,MUA_DESIGNATION_TYP_CD,MUA_DESIGNATION_TYP_DESC,MUA_STATUS_CD,MUA_STATUS_DESC,CENSUS_TRACT,MUA_DESIGNATION_DT,MUA_DESIGNATION_DT_TXT,MUA_SCORE,MUA_SERVICE_AREA_NM,MUA_UPDATE_DT,MUA_UPDATE_DT_TXT,US_MEXICO_BORDER_100KM_IND,US_MEXICO_BORDER_COUNTY_IND,STATE_COUNTY_FIPS_CD,COUNTY_FIPS_CD,LIST_BOX_COUNTY_NM,COUNTY_NM,COUNTY_DESC,REGION_CD,REGION_NM,STATE_FIPS_CD,STATE_NM,STATE_ABBR,POVERTY_100_PCT_NUM,POP_AGE_65_OVER_PCT,INFANT_MORTALITY_RATE,PROVIDER_1000_POP_RATIO,POVERTY_100_PCT_NUM_IMU,POP_AGE_65_OVER_PCT_IMU,INFANT_MORTALITY_RATE_IMU,PROVIDER_1000_POP_RATIO_IMU,DW_RECORD_CREATE_DT,DW_RECORD_CREATE_DT_TXT,PRIMARY_STATE_FIPS_CD,PRIMARY_STATE_ABBR,PRIMARY_STATE_NM,PRIMARY_REGION_CD,PRIMARY_REGION_NM,CMN_REGION_CD,CMN_REGION_NM,CMN_STATE_NM,CMN_STATE_ABBR,CMN_STATE_FIPS_CD,CMN_STATE_COUNTY_FIPS_CD,CMN_COUNTY_NM_STATE_ABBR,BREAK_DESIGNATION_IND,MUA_COMP_DESIGNATION_DT,MUA_COMP_DESIGNATION_DT_TXT,MUA_COMP_GEO_NM,MUA_COMP_GEO_TYP_CD,MUA_COMP_GEO_TYP_DESC,MUA_COMP_GEO_TYP_ID,MUA_COMP_LAST_UPDATE_DT,MUA_COMP_STATUS_CD,MUA_COMP_STATUS_DESC,MUA_COMP_UPDATE_DT_TXT,MUA_DESIGNATION_POP,MUA_METRO_IND_CD,MUA_METRO_IND_DESC,MUA_METRO_IND_ID,MUA_POPULATION_TYP_CD,MUA_POPULATION_TYP_DESC,MUA_POPULATION_TYP_ID,MUA_RES_CIV_POP,MUA_WITHDRAWAL_DT,MUA_WITHDRAWAL_DT_TXT,RURAL_STATUS_CD,RURAL_STATUS_DESC,PROVIDER_1000_POP
474,9013530200,MUP,Medically Underserved Population,D,Designated,5302,12/8/1994,12/8/1994,47.8,Low Inc - Rockville Service Area,12/8/1994,12/8/1994,N,N,9013,13,Tolland County,Tolland,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9013,"Tolland County, CT",N,12/8/1994,12/8/1994,5302,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,N,Non-Rural,
474,9013530100,MUP,Medically Underserved Population,D,Designated,5301,12/8/1994,12/8/1994,47.8,Low Inc - Rockville Service Area,12/8/1994,12/8/1994,N,N,9013,13,Tolland County,Tolland,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9013,"Tolland County, CT",N,12/8/1994,12/8/1994,5301,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,N,Non-Rural,
470,9005310300,MUP,Medically Underserved Population,D,Designated,3103,12/8/1994,12/8/1994,41.1,Low Inc - Central Torrington Service Area,12/8/1994,12/8/1994,N,N,9005,5,Litchfield County,Litchfield,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9005,"Litchfield County, CT",N,12/8/1994,12/8/1994,3103,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,R,Rural,
470,9005310500,MUP,Medically Underserved Population,D,Designated,3105,12/8/1994,12/8/1994,41.1,Low Inc - Central Torrington Service Area,12/8/1994,12/8/1994,N,N,9005,5,Litchfield County,Litchfield,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9005,"Litchfield County, CT",N,12/8/1994,12/8/1994,3105,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,R,Rural,
470,9005310801,MUP,Medically Underserved Population,D,Designated,3108.01,12/8/1994,12/8/1994,41.1,Low Inc - Central Torrington Service Area,12/8/1994,12/8/1994,N,N,9005,5,Litchfield County,Litchfield,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9005,"Litchfield County, CT",N,12/8/1994,12/8/1994,3108.01,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,R,Rural,
470,9005310100,MUP,Medically Underserved Population,D,Designated,3101,12/8/1994,12/8/1994,41.1,Low Inc - Central Torrington Service Area,12/8/1994,12/8/1994,N,N,9005,5,Litchfield County,Litchfield,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9005,"Litchfield County, CT",N,12/8/1994,12/8/1994,3101,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,R,Rural,
470,9005310200,MUP,Medically Underserved Population,D,Designated,3102,12/8/1994,12/8/1994,41.1,Low Inc - Central Torrington Service Area,12/8/1994,12/8/1994,N,N,9005,5,Litchfield County,Litchfield,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9005,"Litchfield County, CT",N,12/8/1994,12/8/1994,3102,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,R,Rural,
468,9003417100,MUP,Medically Underserved Population,D,Designated,4171,12/8/1994,12/8/1994,41.6,Low Inc - N. Central New Britain Service Area,12/8/1994,12/8/1994,N,N,9003,3,Hartford County,Hartford,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9003,"Hartford County, CT",N,12/8/1994,12/8/1994,4171,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,N,Non-Rural,
468,9003417200,MUP,Medically Underserved Population,D,Designated,4172,12/8/1994,12/8/1994,41.6,Low Inc - N. Central New Britain Service Area,12/8/1994,12/8/1994,N,N,9003,3,Hartford County,Hartford,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9003,"Hartford County, CT",N,12/8/1994,12/8/1994,4172,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,N,Non-Rural,
468,9003415900,MUP,Medically Underserved Population,D,Designated,4159,12/8/1994,12/8/1994,41.6,Low Inc - N. Central New Britain Service Area,12/8/1994,12/8/1994,N,N,9003,3,Hartford County,Hartford,County            ,1,Region I,9,Connecticut,CT,,,,,,,,,12/17/2019,12/17/2019,9,CT,Connecticut,1,Region I,1,Region I,Connecticut,CT,9,9003,"Hartford County, CT",N,12/8/1994,12/8/1994,4159,CT,Census Tract,1,12/8/1994,D,Designated,12/8/1994,,0,Unknown,0,LI,MUP Low Income,2,,,,N,Non-Rural,
